objid,inventorynr,inventorynr_sorted,originaltitle,title_de,title_en,production_date,in_exhibition,material_de,material_en,measurement_height,measurement_width,measurement_depth,measurement_unit,description_de,description_en,creditline,acquiry_date,exploitation_rights,default_image,tags
9809,B 1023/0,B 01023/000,Straight from Nowhere,,,2003,no,"Acryl, Fluoreszenz auf Leinwand","Acrylic, fluorescent on canvas",215.0,580.0,4.5,cm,,,erworben/acquired,2010,Lori Hersberger,https://www.mumok.at/imageobject.php?objid=9809,
12705,MG 499/0,MG 00499/000,Gehirn,,Brain,2010,no,Silberner Farbstift auf Papier,Silver colored pencil on paper,70.1,100.2,0.05,cm,,,Schenkung des Künstlers/donation of the artist,2011,Peter Kogler,https://www.mumok.at/imageobject.php?objid=12705,"Österreich, Konzeptkunst, Zeichnung, Grafik"
12823,MP 40/0,MP 00040/000,ohne Titel,,Untitled,1983,no,"Karton, Pigment, Öl","Cardboard, pigment, oil",15.0,25.0,10.0,cm,,,Schenkung Heimo Zobernig/donation by Heimo Zobernig,2011,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=12823,"Skulptur, Objekt, Karton, Kasten, Geometrie, Wand,"
12828,P 670/0,P 00670/000,Ohne Titel (Redundanz),,Untitled (Redundancy),1986,no,"Papiermaché, Hüte","Paper-maché, hats",210.0,95.0,95.0,cm,,,erworben mit Unterstützung von Gundel Wabuschek/acquired with support of Gundel Wabuschek,2011,Atelier Franz West oder Franz West Privatstiftung,https://www.mumok.at/imageobject.php?objid=12828,"Österreich, Konzeptkunst, Skulptur, Environment, Installation, Paßstück, Körper,"
12829,ÖL-Stg 435/0,ÖL-Stg 00435/000,Genetrix,,,1987,no,"Holz, Nägel, Leinwand, weiße Farbe","Wood, nails, canvas, white paint",70.9,67.0,36.0,cm,"Die Skulptur sieht auf den ersten Blick wie eine provisorische Versuchsanordnung aus. Ein einfaches Rechteck und eine vertikale Leiste dienen als Stütze für ein trapezförmiges Brett, das schräg an die Konstruktion angelehnt ist. In der Frontalansicht gleicht die Skulptur einem schlicht weiß bemalten Bild, das auf eine Art Staffelei gestellt wurde. Der priveligierten Schauseite steht die vermeintliche Rückseite gegenüber, die wie ein Blick hinter die Kulissen die Konstruktion offenbart.Der Titel “Genetrix” verweist auf die römische Göttin der Venus Genetrix,die als Stammmutter des römischen Volkes verehrt wurde. Julius Cäsar errichtete ihr auf dem Forum in Rom einen Tempel. In Anspielung auf die erzeugende, hervorbringende Kraft der Liebesgöttin lässt Twombly aus der weißen Leere der Bildtafel einen Illusionraums entstehen, der zum Schauplatz von kaum wahrnehmbaren Eregnissen wird: Einritzungen, Unebenheiten durch Staub, Fingerabdrücke stehen neben dickem Farbauftrag und Farbe, die in schmalen Rinnsalen herabfliesst. Dazwischen kann man die Maserung des Holzes erahnen. Twomblys Kunst führt den Betrachter immer wieder an einen Nullpunkt der Malerei zurück, an dem dieser immer wieder zwischen der reinen materiellen Präsenz des Objekts und seinem illusionistischen Potenzial entscheiden muß. Der Philosoph Roland Barthes hat die nur scheinbar leeren weissen Flächen Twomblys mit der Luftigkeit mediterraner Räume verglichen: “Südliche Zimmer, warm und lichtdurchflutet, mit vereinzelten Elementen, die der Geist bevölkern will.”","At first glance the sculpture appears to be a provisional, experimental arrangment. A simple rectangle and a vertical slat serve as support for a trapezoid board which leans on the construction at an angle. Viewed from the front, the sculpture is like a simple picture in white that has been placed on a kind of easel. The privileged side view is opposite what is assumed to be the back and reveals a behind-the-scenes look at the construction. The title, “Genetrix”, is a reference to the Roman goddess, Venus Genetrix, who was worshipped as the Romans’ progenetrix. Julius Caesar erected a temple to her in the Forum in Rome. As an allusion to the generating, productive power of the goddess of love, Twombly creates an illusory space out of the white emptiness of the picture surface. This becomes the site of almost imperceptible events: scorings, surface irregularities due to dust, finger prints alongside thickly-applied paint and paint which flowed in rivulets. In between one can sense the wood grain. Time and again Twombly leads the viewer back to the absolute zero of painting, to a point where a decision has to be made between the pure physical presence of the object and its illusionary potential. Philosopher Roland Barthes compared the apparently empty white surfaces of Twombly’s work with the airy lightness of the Mediterranean region: “Rooms with a southern aspect, warm and flooded with light, with individual elements that the mind wants to inhabit.”","Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",2011,Cy Twombly Foundation,https://www.mumok.at/imageobject.php?objid=12829,"Amerika, Italien, Rom, Skulptur, Form, Malerei, Bewegung, Poesie,"
12832,MAV 47/0,MAV 00047/000,Boxing Day,,,1980,no,"Film transferiert auf DVD, Farbe, Ton, 5 min","Film transferred to DVD, color, sound, 5 min",,,,,,,Schenkung Thomas Reinhold/donation by Thomas Reinhold,2012,Thomas Reinhold,https://www.mumok.at/imageobject.php?objid=12832,
12834,MD 229/0,MD 00229/000,MONUMENT TO THE LAST HORSE,,,1991,no,Druck auf Papier,Print on paper,70.0,58.0,,cm,,,Schenkung Dieter und Gertraud Bogner/donation by Dieter und Gertraud Bogner,2012,Claes Oldenburg,https://www.mumok.at/imageobject.php?objid=12834,"Ausstellung, Texas, Judd, Pferd, Denkmal"
840,MB 49/0,MB 00049/000,Mauer,,Wall,1975,no,"Öl, Lack auf Hartfaserplatte","Oil, lacquer on fibreboard",40.0,30.0,0.3,cm,,,"Sammlung/Collection Dieter und Gertraud Bogner im/at the mumok, seit/since",2007,Roland Goeschl,https://www.mumok.at/imageobject.php?objid=840,
960,B 57/0,B 00057/000,Religiöse Szene,Religiöse Szene,Religious Scene,ohne Jahr/undated,no,Pastell auf Velourspapier,Pastel on velor paper,34.0,52.4,,cm,,,erworben/acquired in,1962,mumok,https://www.mumok.at/imageobject.php?objid=960,
1020,P 62/0,P 00062/000,Die Zauberin,,The Sorceress,1958,no,Lavastein,Lava stone,85.0,85.0,37.0,cm,,,erworben/acquired in,1966,Archivio Andrea Cascella,https://www.mumok.at/imageobject.php?objid=1020,
1080,AV 66/0,AV 00066/000,1/57 Versuch mit synthetischem Ton (Test),,1/57 Experiment with synthetic sound (test),1957,no,"16mm Film transferiert auf DVD, s/w, stumm, 1 min 23 s","16mm film transferred to DVD, b/w, silent, 1 min 23 sec",,,,,,,erworben/acquired in,2003,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=1080,"Österreich, Wien, Experimentalfilm, Aktionismus, Mauer"
1140,AV 71/0,AV 00071/000,6/64 Mama und Papa (Materialaktion Otto Mühl),,6/64 Mama la Papa (material action Otto Mühl),1964,no,"16mm Film transferiert auf DVD, Farbe, stumm, 4 min","16mm film transferred to DVD, color, silent, 4 min",,,,,,,erworben/acquired in,2003,Bildrecht Wien,https://www.mumok.at/imageobject.php?objid=1140,
1320,B 86/0,B 00086/000,Hockendes im Raum,,Crouching Figure in a Room,1960,no,Tusche und Aquarell auf Papier,India ink and watercolor on paper,62.0,93.0,,cm,,,erworben/acquired in,1963,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=1320,
1380,ÖL-Stg 92/0,ÖL-Stg 00092/000,"The Painting Wall, the Water Bucket Stool",,,1968,no,Liquitex auf Leinwand,Liquitex on canvas,240.0,296.0,41.0,cm,,,"Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",1981,"Howard Kanovitz/Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=1380,"Installation, Raum, Bild, Objekt, Hyperrealismus, Täuschung, Wahrnehmung,"
12837,MG 506/0,MG 00506/000,Exakte Tendenzen,,,1977,no,"Siebdruck auf Papier, 20 Blätter sowie 1 Titel- und 1 Textblatt","Silkscreen on paper, 20 sheets and 1 title and 1 text page",65.0,50.0,,cm,,,"Sammlung/Collection Dieter und Gertraud Bogner im/at the mumok, seit/since",2012,"Nachlass Hans Florey/Roland Goeschl/Oskar Putz/Sabine Weiger/Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=12837,
1560,B 106/0,B 00106/000,Bella Bella,,,1941,no,Öl auf Leinwand,Oil on canvas,115.0,89.0,2.0,cm,,,erworben/acquired in,1964,Paalen Archiv Berlin,https://www.mumok.at/imageobject.php?objid=1560,
1920,AV 131/0,AV 00131/000,Walking Forward - Running Past,,,1971,no,"Video transferiert auf DVD, s/w, Ton, 12 min 45 s","Video transferred to DVD, b/w, sound, 12 min 45 sec",,,,,,,erworben/acquired in,2005,"John Baldessari, Walking Forward - Running Past, 1971. Courtesy Electronic Arts Intermix (EAI), New York.",https://www.mumok.at/imageobject.php?objid=1920,"Video, Amerika, Konzeptkunst, Sprache, Kunst, Kunstbetrieb, Performance, Körper"
2040,AV 141/0,AV 00141/000,The Meaning of Various News Photos to Ed Henderson,,,1973,no,"Video transferiert auf DVD, s/w, Ton, 15 min","Video transferred to DVD, b/w, sound, 15 min",,,,,,,erworben/acquired in,2005,"John Baldessari, The Meaning of Various News Photos to Ed Henderson, 1973. Courtesy Electronic Arts Intermix (EAI), New York.",https://www.mumok.at/imageobject.php?objid=2040,"Video, Amerika, Konzeptkunst, Sprache, Kunst, Kunstbetrieb, Film, Kino, Bedeutung, Text, Bild"
2100,G 144/26,G 00144/026,Skizze für eine Vase,Skizze für eine Vase,Study for a Vase,undatiert,no,Bleistift auf Papier,Pencil on paper,23.6,19.4,,cm,,,erworben/acquired in,1966,,https://www.mumok.at/imageobject.php?objid=2100,
2280,P 155/0,P 00155/000,Space Baby,Weltraum Baby,,1962,no,"Eisen, Gips","Iron, plaster",45.0,24.0,20.0,cm,,,"ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",1978,Robin Page,https://www.mumok.at/imageobject.php?objid=2280,
2640,P 171/0,P 00171/000,Katzendenkmal,,Cat Memorial,1968,no,"Käse, Blech, Holz, Ölfarbe","Cheese, tin, wood, oil paint",7.5,15.5,7.0,cm,,,"ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",1978,The estate of Dieter Roth / Hauser und Wirth Zürich,https://www.mumok.at/imageobject.php?objid=2640,
2760,P 174/0,P 00174/000,Portrait of the artist as Vogelfutterbüste,,Portrait of the Artist as Vogelfutterbüste,1968,no,"Schokolade, Holz","Chocolate, wood",,,,,,,"ehemals Sammlung Hahn/Former Hahn Collection, Köln/Cologne erworben/acquired in",1978,The estate of Dieter Roth / Hauser und Wirth Zürich,https://www.mumok.at/imageobject.php?objid=2760,"Eat Art, Skulptur, Garten, Volgelfutter, James Joyce, Kitsch, Witz, Ironie"
3060,B 188/0,B 00188/000,Tenne in Kastelruth,,Barn Floor in Castelrotto,1949,no,Tempera auf Leinwand,Tempera on canvas,71.0,85.0,,cm,,,erworben/acquired in,1970,,https://www.mumok.at/imageobject.php?objid=3060,
3240,ÖL-Stg 204/0,ÖL-Stg 00204/000,Atopies (XV),,,1986,no,Mahagoni,Mahogany,121.8,130.0,30.0,cm,,,"Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",1989,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=3240,"Belgien, Posie, Skulptur, Möbel, Alltag, Stillleben, Architektur, Alltagsobjekt"
3300,AV 210/0,AV 00210/000,Scape-mates,,,1972,no,"Video auf DVD übertragen, Farbe, Ton, 28 min 16 s","Video transferred to DVD, color, sound, 28 min 16 sec",,,,,,,erworben/acquired,2010,Susan Emshwiller,https://www.mumok.at/imageobject.php?objid=3300,
3420,P 223/0,P 00223/000,Il miracolo,,,1954,no,Bronzeguss,Bronze casting,118.0,168.0,74.0,cm,Derzeit ist keine Abbildung verfügbar.Derzeit ist keine Abbildung verfügbar.,There is currently no image available.,erworben/acquired in,1962,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=3420,
3540,ÖL-Stg 231/0,ÖL-Stg 00231/000,"O.T., aus der Kölner Mappe",,"Untitled, from the Cologne File",1972,no,"Stoff, Eisenhydroxid, Polyester auf Papier","Fabric, iron hydroxide, polyester on paper",33.6,53.3,,cm,,,"Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",1991,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=3540,
435,MG 24/0,MG 00024/000,Zeitungsfoto 096,,,1990,no,Farbfotografie,Color photograph,18.1,27.2,,cm,,,erworben mit Unterstützung der Gesellschaft der Freunde der bildenden Künste/acquired with support of the Society of the Friends of Fine Arts Vienna,2005,"Thomas Ruff/Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=435,"Deutschland, Fotografie, Porträt, Realismus, Hyperrealismus, Zeitung, Medien, Appropriation Art"
5259,MG 427/0,MG 00427/000,"Vibrierender Draht, aus der Serie: Multiflott",,"Vibrating wire, from the series: Multiflott",1930,no,S/W Fotografie,b/w photograph,31.0,40.5,,cm,,,"Sammlung/Collection Dieter und Gertraud Bogner im/at the mumok, seit/since",2010,,https://www.mumok.at/imageobject.php?objid=5259,
436,WA 24/0,WA 0024/000,"Materialaktion Nr. 27, St. Anna, März 1966",,"Material Action no. 27, St. Anna, March 1966",1966 (2000),no,67 S/W Fotografien,67 b/w photographs,30.5,24.5,,cm,"Foto: Ludwig HoffenreichAtelier Muehl, Perinetgasse 1, 1200 Wien","Photography: Ludwig HoffenreichMuehl's studio, Perinetgasse 1, 1200 Wien",erworben/acquired in,2003,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=436,
439,MP 24/0,MP 00024/000,Holzskulptur,,Wood sculpture,1956,no,"Wurzelholz, geölt","Burl wood, oiled",43.5,27.0,22.0,cm,,,"Sammlung/Collection Dieter und Gertraud Bogner im/at the MUMOK, seit/since",2007,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=439,
440,MD 24/0,MD 00024/000,"Einladungskarte Claes Oldenburg, Robert Fraser Gallery. London",,"Invitation card Claes Oldenburg, Robert Fraser Gallery, London",1966,no,Offsetdruck,Offset print,28.0,12.0,,cm,,,Schenkung Egidio Marzona/donation by Egidio Marzona,2006,Claes Oldenburg,https://www.mumok.at/imageobject.php?objid=440,
445,P 25/0,P 00025/000,Methusalem,,,1959,no,Kupfer,Copper,58.0,33.0,32.0,cm,,,erworben/acquired in,1962,James Metcalf,https://www.mumok.at/imageobject.php?objid=445,
448,ÖL-Stg 25/0,ÖL-Stg 00025/000,"Tierfrau, aus der Kölner Mappe",,"Tierfrau, from the Cologne File",1957,no,"Collage, Bleistift auf Papier","Collage, pencil on paper",21.0,29.5,,cm,,,"Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",1981,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=448,
449,L 25/0,L 00025/000,Großer Sammler,,Big Collector,1980,no,Acryl auf Leinwand,Acrylic on canvas,227.0,200.0,,cm,,,Leihgabe der Artothek des Bundes/On loan from the Artothek des Bundes seit/since,1984,Wolfgang Böhm,https://www.mumok.at/imageobject.php?objid=449,
450,M 25/0,M 00025/000,Becherglas (Bierglas),Becherglas (Bierglas),Beaker (Beer Glass),~ 1910,no,"Geblasenes Kristallglas, Bronzedekor","Blown crystal glass, bronze decor",15.2,6.8,,cm,,,"Geschenk der Firma Lobmeyr, Wien/donation of company Lobmeyr, Vienna",,,https://www.mumok.at/imageobject.php?objid=450,"Wiener Werkstätte, Östereich, Design, Angewandte Kunst, Glas,"
451,AV 25/0,AV 00025/000,Mutterschaft,,Motherhood,1999,no,"Video auf DVD übertragen, Farbe, Ton, 30 s","Video transferred to DVD, color, sound, 30 sec",,,,,,,erworben/acquired in,2000,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=451,
453,D 25/0,D 00025/000,110. Aktion,,,2001,no,"Video auf DVD übertragen, Farbe, Ton, 110 min","Video transferred to DVD, color, sound, 110 min",,,,,,,erworben/acquired in,2004,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=453,"Österreich, Aktionismus, Performance, Blut, Innereien, Schwein, rot, schütten, Symbol, Opfer, liegen, Augenbinde"
455,WA 25/0,WA 0025/000,"Vietnamparty, 4. Juli 1966, 19.00 Uhr",,"Vietnam Party, July 4, 1966, 7 p.m.",1966 (2000),no,48 S/W Fotografien,48 b/w photographs,30.5,24.5,,cm,"Foto: Ludwig HoffenreichAtelier Muehl, Perinetgasse 1, 1200 Wien","Photography: Ludwig HoffenreichMuehl's studio, Perinetgasse 1, 1200 Vienna",erworben/acquired in,2003,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=455,
456,MAV 25/0,MAV 00025/000,Sigmar,,,2008,no,"Super 16mm Film, Farbe, Ton, 10 min","Super 16mm film, color, sound, 10 min",,,,,,,Schenkung Bâloise-Gruppe und Basler Versicherungen Österreich/donation by Bâloise-Gruppe and Basler Versicherungen Austria,2009,Duncan Campbell,https://www.mumok.at/imageobject.php?objid=456,
458,MP 25/0,MP 00025/000,ohne Titel,,Untitled,1996 - 2007,no,"Pressspanplatte, Stahlwinkel","Chipboard, steel angle",3.8,280.0,30.0,cm,,,"Sammlung/Collection Dieter und Gertraud Bogner im/at the mumok, seit/since",2007,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=458,
459,MD 25/0,MD 00025/000,Banqueroute,,,1968,no,Druck,Print,50.0,32.3,,cm,,,Schenkung Erik Andersch/donation by Erik Andersch,2006,"Succession Robert Filliou/Galerie Marika Malacorda, Geneve/George Brecht/Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=459,"Dokumente, Fluxus, Ephemera, Plakat"
460,MB 25/0,MB 00025/000,Hommage à Anouj,,,1977,no,Stoff auf Pressspanplatte,Fabric on chipboard,50.0,50.0,2.0,cm,,,Schenkung Hildegard Hahn/donation by Hildegard Hahn,2005,"Daniel Spoerri/Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=460,"Stoff, Homamge, Rest, Relikt, Materialbild,"
461,P 26/0,P 00026/000,La chispa,Der Funken,The spark,1957,no,Bronzeguss,Bronze casting,36.0,31.0,31.0,cm,,,erworben/acquired in,1962,Mario Marcelo Kier Joffé,https://www.mumok.at/imageobject.php?objid=461,
481,B 27/0,B 00027/000,Ciclo della Natura N 8,Kreislauf der Natur Nr. 8,Cycle of nature n 8,1953,no,Tempera auf Leinwand,Tempera on canvas,130.0,167.0,,cm,,,erworben/acquired in,1961,,https://www.mumok.at/imageobject.php?objid=481,
9788,AV 223/0,AV 00223/000,Process Video Revolution,,,1971,no,"Video auf DVD übertragen, s/w, Ton, 23 min 30 s","Video transferred to DVD, b/w, sound, 23 min 30 sec",,,,,,,erworben/acquired,2010,Videofreex,https://www.mumok.at/imageobject.php?objid=9788,
483,ÖL-Stg 27/0,ÖL-Stg 00027/000,"Grobe Formen für Jungfrau, aus der Kölner Mappe",,"Grobe Formen für Jungfrau, from the Cologne File",1958,no,"Wasserfarbe, Bleistift auf Papier","Watercolor, pencil on paper",8.0,12.0,,cm,,,"Leihgabe der Österreichischen Ludwig-Stiftung/On loan from the Austrian Ludwig Foundation, seit/since",1981,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=483,
484,L 27/0,L 00027/000,Wasser,,Water,1983,no,"Öl auf Leinwand, dreiteilig",Oil on canvas in three parts,150.0,510.0,,cm,,,Leihgabe der Artothek des Bundes/On loan from the Artothek des Bundes seit/since,1984,Herbert Brandl,https://www.mumok.at/imageobject.php?objid=484,
485,M 27/0,M 00027/000,Weinkaraffe mit Stöpsel,Weinkaraffe mit Stöpsel,Carafe for Wine,~ 1920,no,Musselinglas,Muslin glass,34.0,9.7,,cm,,,"Geschenk der Firma Lobmeyr, Wien/donation of company Lobmeyr, Vienna",,,https://www.mumok.at/imageobject.php?objid=485,"Wiener Werkstätte, Östereich, Design, Angewandte Kunst, Glas,"
487,D 27/0,D 00027/000,115. Aktion,,,2003,no,"Video auf DVD übertragen, Farbe, Ton, 68 min","Video transferred to DVD, color, sound, 68 min",,,,,Kamera: Peter Kasperak,camera: Peter Kasperak,erworben/acquired in,2004,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=487,"Österreich, Aktionismus, Performance, Blut, Innereien, rot, schütten, Symbol, Opfer, Mann"
488,MG 27/0,MG 00027/000,Zeitungsfoto 100,,,1990,no,Farbfotografie,Color photograph,43.5,27.9,,cm,,,erworben mit Unterstützung der Gesellschaft der Freunde der bildenden Künste/acquired with support of the Society of the Friends of Fine Arts Vienna,2005,"Thomas Ruff/Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=488,"Deutschland, Fotografie, Porträt, Realismus, Hyperrealismus, Zeitung, Medien, Appropriation Art"
489,WA 27/0,WA 0027/000,"Materialaktion Nr. 28, Stilleben mit Finger, 2. September 1966, 11.00 Uhr / bei Pressekonferenz zum Destruction Art Symposium",,"Material Action no. 28, Still Life with Finger, September 2, 1966 11.00 a.m. / during a press conference for the Destruction Art Symposium",1966 (2000),no,24 S/W Fotografien,24 b/w photographs,30.5,24.5,,cm,"Foto: Ludwig HoffenreichAtelier Muehl, Perinetgasse 1, 1200 Wien","Photography: Ludwig HoffenreichMuehl's studio, Perinetgasse 1, 1200 Vienna",erworben/acquired in,2003,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=489,
3600,P 232/24,P 00232/024,"Houseman, aus der Serie: 24 Jobs","Hausmann, aus der Serie: 24 Jobs","Houseman, from the series: 24 Jobs",1979,no,,,9.0,,,cm,,,erworben/acquired in,1980,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=3600,
3660,B 238/0,B 00238/000,Frank O'Hara,,,1956,yes,Bleistift auf Papier,Pencil on paper,45.5,37.0,,cm,,,erworben/acquired in,1974,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=3660,"Porträt, Zeichnung, Amerika,"
3720,P 244/0,P 00244/000,The Stallion,Der Hengst,,1947,no,"Metall, bemalt","Metal, painted",127.0,152.4,101.6,cm,,,erworben/acquired in,1983,"Bildrecht, Wien",https://www.mumok.at/imageobject.php?objid=3720,"Klassische Moderne, Amerika, Nachkriegskunst, Mobile, Metall, Bewegung,  Kinetik, Bewegung, Skulptur, Eisen, Figur, Amerika, Plastik, Kubismus, Avantgarde,"
